Name	Position	Preferred foot	Nation	League	Team	Gender
Fabian Schär	CB	Right	Switzerland	Premier League	Newcastle Utd	Male
Patrik Schick	ST	Left	Czech Republic	Bundesliga	Leverkusen	Male
Luke Shaw	LB	Left	England	Premier League	Man Utd	Male
Malcom	CAM	Left	Brazil	ROSHN Saudi League	Al Hilal	Male
Chris Smalling	CB	Right	England	ROSHN Saudi League	Al Fayha	Male
Alexander Sørloth	ST	Left	Norway	LALIGA EA SPORTS	Atlético de Madrid	Male
Anderson Talisca	RM	Left	Brazil	ROSHN Saudi League	Al Nassr	Male
Luis Suárez	ST	Right	Uruguay	MLS	Inter Miami CF	Male
Niklas Süle	CB	Right	Germany	Bundesliga	Borussia Dortmund	Male
Kevin Trapp	GK	Right	Germany	Bundesliga	Frankfurt	Male
Destiny Udogie	LB	Left	Italy	Premier League	Spurs	Male
Dayot Upamecano	CB	Right	France	Bundesliga	FC Bayern München	Male
Micky van de Ven	CB	Left	Holland	Premier League	Spurs	Male
Raphaël Varane	CB	Right	France	Serie A Enilive	Como	Male
Iñaki Williams	RM	Right	Ghana	LALIGA EA SPORTS	Athletic Club	Male
Luciano Acosta	CAM	Right	Argentina	MLS	FC Cincinnati	Male
Edson Álvarez	CDM	Right	Mexico	Premier League	West Ham	Male
Yeray	CB	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Waldemar Anton	CB	Right	Germany	Bundesliga	Borussia Dortmund	Male
Alphonse Areola	GK	Right	France	Premier League	West Ham	Male
Marco Asensio	RW	Left	Spain	Ligue 1 McDonald's	Paris SG	Male
Balde	LB	Left	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Rodrigo Bentancur	CM	Right	Uruguay	Premier League	Spurs	Male
Álex Berenguer	LM	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Sergio Busquets	CDM	Right	Spain	MLS	Inter Miami CF	Male
Bryan Cristante	CM	Right	Italy	Serie A Enilive	AS Roma	Male
Ricardo Horta	CAM	Right	Portugal	Liga Portugal	SC Braga	Male
Rui Silva	GK	Right	Portugal	LALIGA EA SPORTS	Real Betis	Male
Matteo Darmian	RB	Right	Italy	Serie A Enilive	Lombardia FC	Male
Jonathan David	ST	Right	Canada	Ligue 1 McDonald's	LOSC Lille	Male
Richarlison	ST	Right	Brazil	Premier League	Spurs	Male
Luuk de Jong	ST	Right	Holland	Eredivisie	PSV	Male
