Name	Position	Preferred foot	Nation	League	Team	Gender
Otar Kiteishvili	CAM	Right	Georgia	Ö. Bundesliga	SK Sturm Graz	Male
Klauss	ST	Right	Brazil	MLS	St. Louis CITY SC	Male
Mateusz Klich	CM	Right	Poland	MLS	D.C. United	Male
Robin Knoche	CB	Right	Germany	Bundesliga 2	1. FC Nürnberg	Male
Konstantinos Koulierakis	CB	Left	Greece	Bundesliga	VfL Wolfsburg	Male
Alex Král	CDM	Right	Czech Republic	LALIGA EA SPORTS	RCD Espanyol	Male
Lukas Kübler	RB	Right	Germany	Bundesliga	SC Freiburg	Male
Marash Kumbulla	CB	Right	Albania	LALIGA EA SPORTS	RCD Espanyol	Male
Sven Kums	CM	Right	Belgium	1A Pro League	KAA Gent	Male
Daler Kuzyaev	CM	Right	Russia	Ligue 1 McDonald's	Havre AC	Male
Adam Lallana	CAM	Right	England	Premier League	Southampton	Male
Sam Lammers	ST	Left	Holland	Eredivisie	FC Twente	Male
Loïc Lapoussin	LM	Right	Madagascar	1A Pro League	R. Union St.-G.	Male
Gautier Larsonneur	GK	Right	France	Ligue 1 McDonald's	AS Saint-Étienne	Male
Hugo Larsson	CM	Right	Sweden	Bundesliga	Frankfurt	Male
Toni Lato	LB	Left	Spain	LALIGA EA SPORTS	RCD Mallorca	Male
Darko Lazović	LM	Right	Serbia	Serie A Enilive	Hellas Verona	Male
Lee Dong Kyeong	CAM	Left	Korea Republic	K League 1	Gimcheon Sangmu	Male
Lee Chang Geun	GK	Right	Korea Republic	K League 1	Daejeon	Male
Jamie Leweling	RM	Right	Germany	Bundesliga	VfB Stuttgart	Male
Adryelson	CB	Right	Brazil	Ligue 1 McDonald's	OL	Male
Karol Linetty	CM	Right	Poland	Serie A Enilive	Torino	Male
Jesse Lingard	CAM	Right	England	K League 1	FC Seoul	Male
Ondřej Lingr	CAM	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Dejan Ljubičić	CM	Right	Austria	Bundesliga 2	1. FC Köln	Male
Andrés Llinás	CB	Right	Colombia	Libertadores	Millonarios	Male
Gautier Lloris	CB	Left	France	Ligue 1 McDonald's	Havre AC	Male
Gastón Lódico	LM	Right	Argentina	Primera División	Instituto	Male
Yury Lodygin	GK	Right	Russia	Hellas Liga	Panathinaikos	Male
Joe Lolley	RM	Left	England	A-League	Sydney FC	Male
Cadu	LM	Right	Brazil	Česká Liga	Viktoria Plzeň	Male
Unai López	CDM	Right	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Hernán López Muñoz	CAM	Left	Argentina	MLS	SJ Earthquakes	Male
Anthony Losilla	CDM	Right	France	Bundesliga	VfL Bochum 1848	Male
Dejan Lovren	CB	Right	Croatia	Ligue 1 McDonald's	OL	Male
John Lundstram	CDM	Right	England	Trendyol Süper Lig	Trabzonspor	Male
Kevin Mac Allister	CB	Right	Argentina	1A Pro League	R. Union St.-G.	Male
Koki Machida	CB	Left	Japan	1A Pro League	R. Union St.-G.	Male
Daizen Maeda	LW	Right	Japan	Scottish Prem	Celtic	Male
Giulio Maggiore	CM	Right	Italy	Serie BKT	Salernitana	Male
Hörður Magnússon	CB	Left	Iceland	Hellas Liga	Panathinaikos	Male
Ryan Manning	LB	Left	Republic of Ireland	Premier League	Southampton	Male
Tomás Marchiori	GK	Right	Argentina	Primera División	Vélez Sarsfield	Male
Iván Marcone	CDM	Right	Argentina	Primera División	Independiente	Male
Pep Biel	CAM	Left	Spain	MLS	Charlotte FC	Male
Neal Maupay	ST	Right	France	Ligue 1 McDonald's	OM	Male
Mark McKenzie	CB	Right	United States	Ligue 1 McDonald's	Toulouse FC	Male
Marvin Mehlem	CAM	Right	Germany	EFL Championship	Hull City	Male
Nico Melamed	CAM	Right	Spain	LALIGA HYPERMOTION	UD Almería	Male
Domingos Duarte	CB	Right	Portugal	LALIGA EA SPORTS	Getafe CF	Male
Teden Mengi	CB	Right	England	EFL Championship	Luton Town	Male
Illan Meslier	GK	Left	France	EFL Championship	Leeds United	Male
Rony Lopes	RM	Left	Portugal	Trendyol Süper Lig	Alanyaspor	Male
Djordje Mihailovic	CAM	Right	United States	MLS	Colorado Rapids	Male
Sven Mijnans	CM	Left	Holland	Eredivisie	AZ	Male
Yankuba Minteh	RM	Left	Gambia	Premier League	Brighton	Male
Bojan Miovski	ST	Left	North Macedonia	LALIGA EA SPORTS	Girona FC	Male
Fabio Miretti	CM	Right	Italy	Serie A Enilive	Genoa	Male
Josip Mišić	CDM	Right	Croatia	Liga Hrvatska	Dinamo Zagreb	Male
Stefan Mitrović	CB	Right	Serbia	1A Pro League	KAA Gent	Male
Stoichkov	LM	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
César Montes	CB	Right	Mexico	LALIGA HYPERMOTION	UD Almería	Male
Joni Montiel	CAM	Left	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Alfredo Morelos	ST	Right	Colombia	Liga Colombia	Atl. Nacional	Male
Manu Morlanes	CM	Right	Spain	LALIGA EA SPORTS	RCD Mallorca	Male
Carlton Morris	ST	Right	England	EFL Championship	Luton Town	Male
Faris Pemi Moumbagna	ST	Left	Cameroon	Ligue 1 McDonald's	OM	Male
Ernest Muçi	CAM	Right	Albania	Trendyol Süper Lig	Beşiktaş	Male
Mert Müldür	RB	Right	Turkey	Trendyol Süper Lig	Fenerbahçe	Male
Marius Müller	GK	Right	Germany	Bundesliga	VfL Wolfsburg	Male
Aihen Muñoz	LB	Left	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Javi Muñoz	CM	Right	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Alex Muñoz	CB	Left	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Thomas Murg	CAM	Left	Austria	Hellas Liga	PAOK FC	Male
Amir Murillo	RB	Right	Panama	Ligue 1 McDonald's	OM	Male
Phillipp Mwene	LB	Right	Austria	Bundesliga	1. FSV Mainz 05	Male
Marvelous Nakamba	CDM	Left	Zimbabwe	EFL Championship	Luton Town	Male
Keito Nakamura	LM	Right	Japan	Ligue 1 McDonald's	Stade de Reims	Male
Khaled Narey	RM	Right	Germany	ROSHN Saudi League	Al Khaleej	Male
Luca Netz	LB	Left	Germany	Bundesliga	M'gladbach	Male
Gabriel Neves	CM	Right	Uruguay	Libertadores	Estudiantes	Male
Perry Ng	RB	Right	England	EFL Championship	Cardiff City	Male
Michael Ngadeu	CB	Right	Cameroon	CSL	Beijing FC	Male
Arnaud Nordin	RM	Left	France	Ligue 1 McDonald's	Montpellier	Male
Ernest Nuamah	RW	Left	Ghana	Ligue 1 McDonald's	OL	Male
Juan Jesus	CB	Left	Brazil	Serie A Enilive	SSC Napoli	Male
Callum O'Hare	CAM	Right	England	EFL Championship	Sheffield Utd	Male
Dara O'Shea	CB	Right	Republic of Ireland	Premier League	Ipswich	Male
Igoh Ogbu	CB	Right	Nigeria	Česká Liga	Slavia Praha	Male
David Okereke	ST	Right	Nigeria	Serie BKT	Cremonese	Male
Maduka Okoye	GK	Right	Nigeria	Serie A Enilive	Udinese	Male
Joseph Okumu	CB	Right	Kenya	Ligue 1 McDonald's	Stade de Reims	Male
Rogério	LB	Left	Brazil	Bundesliga	VfL Wolfsburg	Male
Robin Olsen	GK	Right	Sweden	Premier League	Aston Villa	Male
Kristoffer Olsson	CM	Right	Sweden	3F Superliga	FC Midtjylland	Male
Christopher Operi	LB	Left	Côte d'Ivoire	Ligue 1 McDonald's	Havre AC	Male
Gift Orban	ST	Right	Nigeria	Ligue 1 McDonald's	OL	Male
Ivan Ordets	CB	Right	Ukraine	Bundesliga	VfL Bochum 1848	Male
Mislav Oršić	LM	Right	Croatia	Trendyol Süper Lig	Trabzonspor	Male
Patrick Osterhage	CDM	Left	Germany	Bundesliga	SC Freiburg	Male
Juan Ferney Otero	ST	Right	Colombia	LALIGA HYPERMOTION	R. Sporting	Male
Dango Ouattara	LM	Left	Burkina Faso	Premier League	AFC Bournemouth	Male
Magomed Ozdoev	CM	Right	Russia	Hellas Liga	PAOK FC	Male
Luis Palma	LW	Right	Honduras	Scottish Prem	Celtic	Male
Amahl Pellegrino	LW	Right	Norway	MLS	SJ Earthquakes	Male
Patrick Pentz	GK	Left	Austria	3F Superliga	Brøndby IF	Male
Danilo	ST	Right	Brazil	Scottish Prem	Rangers	Male
Rubén Pérez	CDM	Right	Spain	Hellas Liga	Panathinaikos	Male
Romain Perraud	LB	Left	France	LALIGA EA SPORTS	Real Betis	Male
Lucas Perrin	CB	Right	France	Bundesliga 2	Hamburger SV	Male
Krzysztof Piątek	ST	Right	Poland	Trendyol Süper Lig	Başakşehir	Male
Amos Pieper	CB	Right	Germany	Bundesliga	SV Werder Bremen	Male
Joël Piroe	ST	Left	Holland	EFL Championship	Leeds United	Male
Tommaso Pobega	CM	Left	Italy	Serie A Enilive	Bologna	Male
Julien Ponceau	CAM	Right	France	Ligue 2 BKT	FC Lorient	Male
Alexander Prass	CM	Left	Austria	Bundesliga	TSG Hoffenheim	Male
Lukáš Provod	CM	Left	Czech Republic	Česká Liga	Slavia Praha	Male
Teemu Pukki	ST	Right	Finland	MLS	Minnesota United	Male
Baba Rahman	LB	Left	Ghana	Hellas Liga	PAOK FC	Male
Cristian Ramírez	LB	Left	Ecuador	Magyar Liga	Ferencvárosi TC	Male
Moisés Ramírez	GK	Right	Ecuador	Libertadores	IDV	Male
Aaron Ramsey	CM	Right	Wales	EFL Championship	Cardiff City	Male
Luca Ranieri	CB	Left	Italy	Serie A Enilive	Fiorentina	Male
Federico Rasmussen	CB	Left	Argentina	Primera División	Godoy Cruz	Male
Federico Redondo	CM	Right	Argentina	MLS	Inter Miami CF	Male
Rocco Reitz	CM	Right	Germany	Bundesliga	M'gladbach	Male
Elvis Rexhbeçaj	CM	Left	Kosovo	Bundesliga	FC Augsburg	Male
Fabian Rieder	CAM	Left	Switzerland	Bundesliga	VfB Stuttgart	Male
Mats Rits	CDM	Right	Belgium	1A Pro League	RSC Anderlecht	Male
Dmytro Riznyk	GK	Right	Ukraine	Ukrayina Liha	Shakhtar Donetsk	Male
Rochinha	LW	Right	Portugal	Liga Portugal	FC Famalicão	Male
Marek Rodák	GK	Right	Slovakia	ROSHN Saudi League	Ettifaq FC	Male
Óscar	CM	Right	Spain	LALIGA EA SPORTS	CD Leganés	Male
Manuel Roffo	GK	Right	Argentina	Primera División	Instituto	Male
Valentin Rosier	RB	Right	France	LALIGA EA SPORTS	CD Leganés	Male
Jérôme Roussillon	LB	Left	France	Bundesliga	Union Berlin	Male
Raúl Ruidíaz	ST	Right	Peru	MLS	Sounders FC	Male
Mikkel Rygaard	CM	Left	Denmark	Allsvenskan	BK Häcken	Male
Lukáš Sadílek	CM	Right	Czech Republic	Česká Liga	Sparta Praha	Male
Osame Sahraoui	LM	Right	Norway	Ligue 1 McDonald's	LOSC Lille	Male
Samu Sáiz	CAM	Right	Spain	Trendyol Süper Lig	Eyüpspor	Male
Diadié Samassékou	CDM	Right	Mali	Bundesliga	TSG Hoffenheim	Male
Francisco Moura	LB	Left	Portugal	Liga Portugal	FC Famalicão	Male
Javi Sánchez	CB	Right	Spain	LALIGA EA SPORTS	R. Valladolid CF	Male
Manu Sánchez	LB	Left	Spain	LALIGA EA SPORTS	D. Alavés	Male
Nicola Sansone	CAM	Right	Italy	Serie A Enilive	Lecce	Male
Josh Sargent	ST	Right	United States	EFL Championship	Norwich	Male
Amir Sâyoud	RM	Left	Algeria	ROSHN Saudi League	Al Raed	Male
Saba Sazonov	CB	Right	Georgia	Serie A Enilive	Torino	Male
Joe Scally	RB	Right	United States	Bundesliga	M'gladbach	Male
András Schäfer	CM	Right	Hungary	Bundesliga	Union Berlin	Male
Bart Schenkeveld	CB	Right	Holland	Hellas Liga	Panathinaikos	Male
Alexander Schlager	GK	Right	Austria	Ö. Bundesliga	RB Salzburg	Male
Ivan Schranz	LM	Right	Slovakia	Česká Liga	Slavia Praha	Male
Marcel Schuhen	GK	Right	Germany	Bundesliga 2	SV Darmstadt 98	Male
Stefan Schwab	CM	Left	Austria	Hellas Liga	PAOK FC	Male
Alex Scott	CM	Right	England	Premier League	AFC Bournemouth	Male
Ibrahim Šehić	GK	Left	Bosnia and Herzegovina	ROSHN Saudi League	Al Khaleej	Male
Alidu Seidu	CB	Right	Ghana	Ligue 1 McDonald's	Stade Rennais FC	Male
Ryan Sessegnon	LB	Left	England	Premier League	Fulham	Male
Petr Ševčík	CDM	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Ahmed Sharahili	CB	Left	Saudi Arabia	ROSHN Saudi League	Al Ittihad	Male
Leonardo Sigali	CB	Right	Argentina	Sudamericana	Racing Club	Male
Danylo Sikan	ST	Right	Ukraine	Ukrayina Liha	Shakhtar Donetsk	Male
Martín Silva	GK	Right	Uruguay	Libertadores	Libertad	Male
Cesinha	ST	Right	Brazil	K League 1	Daegu FC	Male
Abdallah Sima	LM	Right	Senegal	Ligue 1 McDonald's	Stade Brestois 29	Male
David Simão	CM	Left	Portugal	Liga Portugal	Arouca	Male
Ibrahima Sissoko	CM	Right	Mali	Bundesliga	VfL Bochum 1848	Male
Sivera	GK	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
Gijs Smal	LM	Left	Holland	Eredivisie	Feyenoord	Male
Rubén Sobrino	LM	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Pablo Solari	ST	Right	Argentina	Libertadores	River Plate	Male
Juan Soriano	GK	Left	Spain	LALIGA EA SPORTS	CD Leganés	Male
José Sosa	CM	Right	Argentina	Libertadores	Estudiantes	Male
Ricardo Esgaio	RB	Right	Portugal	Liga Portugal	Sporting CP	Male
John Souttar	CB	Right	Scotland	Scottish Prem	Rangers	Male
Carl Starfelt	CB	Right	Sweden	LALIGA EA SPORTS	RC Celta	Male
Niklas Stark	CB	Right	Germany	Bundesliga	SV Werder Bremen	Male
Thomas Strakosha	GK	Right	Albania	Hellas Liga	AEK Athens	Male
Pascal Struijk	CB	Left	Holland	EFL Championship	Leeds United	Male
Luka Sučić	CAM	Left	Croatia	LALIGA EA SPORTS	Real Sociedad	Male
Stoppila Sunzu	CB	Right	Zambia	CSL	Changchun Yatai	Male
Tomáš Suslov	RM	Left	Slovakia	Serie A Enilive	Hellas Verona	Male
Attila Szalai	CB	Left	Hungary	Bundesliga	TSG Hoffenheim	Male
Damian Szymański	CDM	Right	Poland	Hellas Liga	AEK Athens	Male
Flavien Tait	CM	Right	France	Trendyol Süper Lig	Samsunspor	Male
Matt Targett	LB	Left	England	Premier League	Newcastle Utd	Male
Greg Taylor	LB	Left	Scotland	Scottish Prem	Celtic	Male
Kenneth Taylor	CM	Left	Holland	Eredivisie	Ajax	Male
Nahuel Tenaglia	RB	Right	Argentina	LALIGA EA SPORTS	D. Alavés	Male
Arnau Tenas	GK	Right	Spain	Ligue 1 McDonald's	Paris SG	Male
William Tesillo	CB	Left	Colombia	Liga Colombia	Atl. Nacional	Male
Phillip Tietz	ST	Right	Germany	Bundesliga	FC Augsburg	Male
Karl Toko Ekambi	LW	Right	Cameroon	ROSHN Saudi League	Ettifaq FC	Male
Luis Henrique	LM	Right	Brazil	Ligue 1 McDonald's	OM	Male
Pablo Torre	CAM	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Facundo Torres	RM	Left	Uruguay	MLS	Orlando City	Male
Jordan Torunarigha	CB	Left	Nigeria	1A Pro League	KAA Gent	Male
Cenk Tosun	ST	Right	Turkey	Trendyol Süper Lig	Fenerbahçe	Male
Adama Traoré	RW	Left	Mali	Magyar Liga	Ferencvárosi TC	Male
Stefano Turati	GK	Right	Italy	Serie A Enilive	Monza	Male
Matt Turner	GK	Right	United States	Premier League	Crystal Palace	Male
Gennaro Tutino	ST	Right	Italy	Serie BKT	Sampdoria	Male
Ayase Ueda	ST	Right	Japan	Eredivisie	Feyenoord	Male
Filip Ugrinic	CAM	Right	Switzerland	CSSL	BSC Young Boys	Male
Sven Ulreich	GK	Right	Germany	Bundesliga	FC Bayern München	Male
Nicolai Vallys	CAM	Right	Denmark	3F Superliga	Brøndby IF	Male
Milan van Ewijk	RB	Right	Holland	EFL Championship	Coventry City	Male
Ricky van Wolfswinkel	ST	Right	Holland	Eredivisie	FC Twente	Male
Vladyslav Vanat	ST	Left	Ukraine	Ukrayina Liha	Dynamo Kyiv	Male
Nuno Tavares	LB	Left	Portugal	Serie A Enilive	Latium	Male
Johan Vásquez	CB	Left	Mexico	Serie A Enilive	Genoa	Male
Unai Vencedor	CM	Right	Spain	LALIGA HYPERMOTION	R. Racing Club	Male
Yorbe Vertessen	ST	Right	Belgium	Bundesliga	Union Berlin	Male
Arturo Vidal	CM	Right	Chile	Libertadores	Colo-Colo	Male
Tonny Vilhena	CM	Left	Holland	Hellas Liga	Panathinaikos	Male
Toni Villa	LM	Right	Spain	LALIGA HYPERMOTION	SD Eibar	Male
Iván Villar	GK	Right	Spain	LALIGA EA SPORTS	RC Celta	Male
Odysseas Vlachodimos	GK	Right	Greece	Premier League	Newcastle Utd	Male
Jed Wallace	RM	Right	England	EFL Championship	West Brom	Male
Daniel Wass	CM	Right	Denmark	3F Superliga	Brøndby IF	Male
Tsuyoshi Watanabe	CB	Right	Japan	1A Pro League	KAA Gent	Male
Timothy Weah	RM	Right	United States	Serie A Enilive	Juventus	Male
Ashley Westwood	CDM	Right	England	MLS	Charlotte FC	Male
Ben Whiteman	CDM	Right	England	EFL Championship	Preston	Male
Morgan Whittaker	RW	Left	England	EFL Championship	Plymouth Argyle	Male
Silvan Widmer	RB	Right	Switzerland	Bundesliga	1. FSV Mainz 05	Male
Christopher Wooh	CB	Right	Cameroon	Ligue 1 McDonald's	Stade Rennais FC	Male
Joe Worrall	CB	Right	England	EFL Championship	Burnley	Male
Roman Yaremchuk	ST	Right	Ukraine	Hellas Liga	Olympiacos FC	Male
Rıdvan Yılmaz	LB	Left	Turkey	Scottish Prem	Rangers	Male
Okay Yokuşlu	CDM	Right	Turkey	Trendyol Süper Lig	Trabzonspor	Male
Christos Zafeiris	CM	Right	Norway	Česká Liga	Slavia Praha	Male
Arsen Zakharyan	LM	Right	Russia	LALIGA EA SPORTS	Real Sociedad	Male
Zaldúa	RB	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Fernando Zampedri	ST	Right	Argentina	Sudamericana	Uni. Católica	Male
Cédric Zesiger	CB	Left	Switzerland	Bundesliga	VfL Wolfsburg	Male
Fernando Zuqui	CM	Right	Argentina	Sudamericana	Uni. Católica	Male
Max Aarons	RB	Right	England	Premier League	AFC Bournemouth	Male
Brenden Aaronson	CAM	Right	United States	EFL Championship	Leeds United	Male
Rodrigo Abascal	CB	Left	Uruguay	Liga Portugal	Boavista FC	Male
Himad Abdelli	CAM	Right	Algeria	Ligue 1 McDonald's	Angers SCO	Male
Oliver Abildgaard	CDM	Left	Denmark	Serie BKT	Pisa	Male
Ragnar Ache	ST	Right	Germany	Bundesliga 2	Kaiserslautern	Male
Elias Achouri	LW	Right	Tunisia	3F Superliga	F.C. København	Male
Aguado	CM	Right	Spain	LALIGA EA SPORTS	RCD Espanyol	Male
Emre Akbaba	CAM	Left	Turkey	Trendyol Süper Lig	Eyüpspor	Male
Ilias	RW	Left	Morocco	LALIGA EA SPORTS	Villarreal CF	Male
Chadrac Akolo	ST	Right	Congo DR	CSSL	FC St. Gallen	Male
Jean-Daniel Akpa Akpro	CM	Right	Côte d'Ivoire	Serie A Enilive	Latium	Male
Aleñá	CM	Left	Spain	LALIGA EA SPORTS	Getafe CF	Male
Nani	LM	Right	Portugal	Liga Portugal	Estrela Amadora	Male
Agustín Almendra	CM	Right	Argentina	Sudamericana	Racing Club	Male
Cristian Álvarez	GK	Right	Argentina	LALIGA HYPERMOTION	Real Zaragoza	Male
Ibrahim Amadou	CDM	Right	France	CSL	Shanghai Shenhua	Male
Selim Amallah	CAM	Right	Morocco	LALIGA EA SPORTS	R. Valladolid CF	Male
Lazare Amani	CM	Right	Côte d'Ivoire	1A Pro League	R. Union St.-G.	Male
Zeki Amdouni	ST	Right	Switzerland	Liga Portugal	SL Benfica	Male
Arbilla	CB	Right	Spain	LALIGA HYPERMOTION	SD Eibar	Male
Alex Arce	ST	Right	Paraguay	Libertadores	LDU Quito	Male
Areso	RB	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Joe Aribo	CM	Left	Nigeria	Premier League	Southampton	Male
Stuart Armstrong	CM	Right	Scotland	MLS	Whitecaps FC	Male
Adrián Arregui	CM	Right	Argentina	Libertadores	Alianza Lima	Male
Noah Atubolu	GK	Right	Germany	Bundesliga	SC Freiburg	Male
Oğuz Aydın	RM	Right	Turkey	Trendyol Süper Lig	Fenerbahçe	Male
Tiago Tomás	ST	Right	Portugal	Bundesliga	VfL Wolfsburg	Male
Milan Badelj	CDM	Right	Croatia	Serie A Enilive	Genoa	Male
Mama Baldé	ST	Right	Guinea-Bissau	Ligue 1 McDonald's	Stade Brestois 29	Male
Carlos Baleba	CDM	Left	Cameroon	Premier League	Brighton	Male
Daniel Ballard	CB	Right	Northern Ireland	EFL Championship	Sunderland	Male
Leon Balogun	CB	Right	Nigeria	Scottish Prem	Rangers	Male
Mohamed Bamba	ST	Right	Côte d'Ivoire	Ligue 2 BKT	FC Lorient	Male
Valentín Barco	LB	Left	Argentina	LALIGA EA SPORTS	Sevilla FC	Male
Francesco Bardi	GK	Right	Italy	Serie BKT	Reggiana	Male
Pier Barrios	CB	Right	Argentina	Primera División	Godoy Cruz	Male
Jelle Bataille	RB	Right	Belgium	1A Pro League	Royal Antwerp FC	Male
Mohamed Bayo	ST	Right	Guinea	Ligue 1 McDonald's	LOSC Lille	Male
Gavin Bazunu	GK	Right	Republic of Ireland	Premier League	Southampton	Male
Thomas Beelen	CB	Right	Holland	Eredivisie	Feyenoord	Male
Kevin Behrens	ST	Right	Germany	Bundesliga	VfL Wolfsburg	Male
Vid Belec	GK	Right	Slovenia	Liga Cyprus	APOEL FC	Male
Eliesse Ben Seghir	CAM	Right	Morocco	Ligue 1 McDonald's	AS Monaco	Male
Gastón Benavídez	RB	Right	Argentina	Libertadores	Talleres	Male
Dimitry Bertaud	GK	Right	Congo DR	Ligue 1 McDonald's	Montpellier	Male
Bruno Bianchi	CB	Right	Argentina	Primera División	Ind. Rivadavia	Male
Bigas	CB	Left	Spain	LALIGA HYPERMOTION	Elche CF	Male
Leonardo Bittencourt	CAM	Right	Germany	Bundesliga	SV Werder Bremen	Male
Fredrik Andre Bjørkan	LB	Left	Norway	Eliteserien	FK Bodø/Glimt	Male
Jayden Bogle	RB	Right	England	EFL Championship	Leeds United	Male
Darijan Bojanić	CM	Right	Sweden	K League 1	Ulsan Hyundai	Male
Yoan Bonny	ST	Right	France	Serie A Enilive	Parma	Male
Ângelo	RM	Left	Brazil	Premier League	Chelsea	Male
Jan Bořil	CB	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Darko Brašanac	CM	Right	Serbia	LALIGA EA SPORTS	CD Leganés	Male
Ben Brereton Díaz	LW	Right	Chile	Premier League	Southampton	Male
Armando Broja	ST	Right	Albania	Premier League	Everton	Male
Jorge Broun	GK	Right	Argentina	Libertadores	Rosario Central	Male
Facundo Buonanotte	RM	Left	Argentina	Premier League	Leicester City	Male
Gianluca Busio	CM	Right	United States	Serie A Enilive	Venezia	Male
Nahuel Bustos	ST	Right	Argentina	Libertadores	San Lorenzo	Male
Javier Cabrera	RM	Right	Uruguay	Libertadores	Peñarol	Male
Juan José Cáceres	RB	Right	Paraguay	Sudamericana	Lanús	Male
Mathieu Cafaro	LM	Right	France	Ligue 1 McDonald's	AS Saint-Étienne	Male
Jens-Lys Cajuste	CDM	Right	Sweden	Premier League	Ipswich	Male
Luca Caldirola	CB	Left	Italy	Serie A Enilive	Monza	Male
Calero	CB	Right	Spain	LALIGA EA SPORTS	RCD Espanyol	Male
Alexander Callens	CB	Left	Peru	Hellas Liga	AEK Athens	Male
Dani Calvo	CB	Right	Spain	LALIGA HYPERMOTION	R. Oviedo	Male
Lamine Camara	CM	Right	Senegal	Ligue 1 McDonald's	AS Monaco	Male
Mohamed Ali Camara	CB	Right	Guinea	CSSL	BSC Young Boys	Male
Sergio Camello	ST	Right	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Jorman Campuzano	CDM	Right	Colombia	Liga Colombia	Atl. Nacional	Male
Alexis Canelo	LM	Right	Argentina	Primera División	Independiente	Male
Sergi Canós	LM	Right	Spain	LALIGA EA SPORTS	Valencia CF	Male
Nicolás Capaldo	CM	Right	Argentina	Ö. Bundesliga	RB Salzburg	Male
Gabriel Carabajal	CAM	Right	Argentina	Primera División	Newell's	Male
Edwin Cardona	CAM	Right	Colombia	Liga Colombia	Atl. Nacional	Male
Irvin Cardona	ST	Right	France	LALIGA EA SPORTS	RCD Espanyol	Male
Julián Carranza	ST	Right	Argentina	Eredivisie	Feyenoord	Male
Guido Carrillo	ST	Right	Argentina	Libertadores	Estudiantes	Male
Federico Carrizo	CAM	Right	Argentina	Libertadores	Cerro Porteño	Male
Wanderson	LB	Left	Brazil	K League 1	Pohang Steelers	Male
Cristian Cásseres Jr	CDM	Right	Venezuela	Ligue 1 McDonald's	Toulouse FC	Male
Santiago Castro	ST	Right	Argentina	Serie A Enilive	Bologna	Male
Federico Ceccherini	CB	Right	Italy	Serie BKT	Cremonese	Male
Adam Gnezda Čerin	CM	Right	Slovenia	Hellas Liga	Panathinaikos	Male
Farouk Chafaï	CB	Right	Algeria	ROSHN Saudi League	Damac FC	Male
Diego Chará	CDM	Right	Colombia	MLS	Portland Timbers	Male
Tjaronn Chery	CAM	Left	Suriname	1A Pro League	Royal Antwerp FC	Male
Oliver Christensen	GK	Right	Denmark	Serie A Enilive	Fiorentina	Male
Alessandro Circati	CB	Right	Australia	Serie A Enilive	Parma	Male
Clerc	LB	Left	Spain	LALIGA HYPERMOTION	Elche CF	Male
Elias Cobbaut	CB	Left	Belgium	Serie A Enilive	Parma	Male
Lorenzo Colombo	ST	Left	Italy	Serie A Enilive	Empoli	Male
Nazareno Colombo	CB	Right	Argentina	Sudamericana	Racing Club	Male
Eray Cömert	CB	Right	Switzerland	LALIGA EA SPORTS	R. Valladolid CF	Male
Diego Conde	GK	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Jake Cooper	CB	Left	England	EFL Championship	Millwall	Male
Janner Corozo	RM	Right	Ecuador	Libertadores	Barcelona SC	Male
Claudio Corvalán	CB	Left	Argentina	Primera División	Unión	Male
Nicolas Cozza	LB	Left	France	Ligue 1 McDonald's	FC Nantes	Male
Maxime Crépeau	GK	Right	Canada	MLS	Portland Timbers	Male
Miguel Crespo	CM	Right	Portugal	Trendyol Süper Lig	Başakşehir	Male
Pejiño	RM	Left	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Leonardo Lelo	LM	Left	Portugal	Liga Portugal	Casa Pia AC	Male
Danny da Costa	RB	Right	Germany	Bundesliga	1. FSV Mainz 05	Male
Abner Vinícius	LB	Left	Brazil	Ligue 1 McDonald's	OL	Male
Gustavo	ST	Right	Brazil	CSL	Shanghai Port FC	Male
Busanello	LB	Left	Brazil	Allsvenskan	Malmö FF	Male
Mikkel Damsgaard	CM	Right	Denmark	Premier League	Brentford	Male
Marcus Danielson	CB	Right	Sweden	Allsvenskan	Djurgårdens IF	Male
Josh Dasilva	CM	Left	England	Premier League	Brentford	Male
Paweł Dawidowicz	CB	Right	Poland	Serie A Enilive	Hellas Verona	Male
Zeca	ST	Right	Brazil	CSL	Shandong Taishan	Male
